NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
18;3;1;6;3;202;100;5;100;
18;3;1;6;4;1098;100;4;100;
18;3;1;6;2;36;100;4;98;
18;3;1;6;5;5458;100;4;100;
18;3;1;6;5;5458;100;1;100;
18;3;1;6;1;4;100;4;37;
18;3;1;6;3;202;100;4;100;
18;3;1;6;2;36;100;2;100;
18;3;1;6;1;4;100;2;57;
18;3;1;6;2;36;100;0;100;
18;3;1;6;3;202;100;2;100;
18;3;1;6;5;5458;100;0;100;
18;3;1;6;3;202;100;3;100;
18;3;1;6;4;1098;100;0;100;
18;3;1;6;1;4;100;5;20;
18;3;1;6;1;4;100;0;100;
18;3;1;6;3;202;100;1;100;
18;3;1;6;5;5458;100;5;100;
18;3;1;6;4;1098;100;5;100;
18;3;1;6;3;202;100;0;100;
18;3;1;6;1;4;100;1;76;
18;3;1;6;4;1098;100;3;100;
18;3;1;6;4;1098;100;1;100;
18;3;1;6;5;5458;100;3;100;
18;3;1;6;1;4;100;3;52;
18;3;1;6;4;1098;100;2;100;
18;3;1;6;2;36;100;5;87;
18;3;1;6;2;36;100;3;100;
18;3;1;6;2;36;100;1;100;
18;3;1;6;5;5458;100;2;100;
