NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
12;4;1;12;3;329;100;6;100;
12;4;1;12;1;5;100;2;61;
12;4;1;12;5;11889;100;7;100;
12;4;1;12;5;11889;100;3;100;
12;4;1;12;3;329;100;7;100;
12;4;1;12;1;5;100;11;7;
12;4;1;12;4;2068;100;3;100;
12;4;1;12;2;48;100;1;100;
12;4;1;12;4;2068;100;1;100;
12;4;1;12;3;329;100;1;100;
12;4;1;12;1;5;100;5;31;
12;4;1;12;2;48;100;3;100;
12;4;1;12;2;48;100;10;68;
12;4;1;12;4;2068;100;2;100;
12;4;1;12;4;2068;100;6;100;
12;4;1;12;4;2068;100;11;100;
12;4;1;12;5;11889;100;2;100;
12;4;1;12;1;5;100;0;100;
12;4;1;12;3;329;100;8;100;
12;4;1;12;4;2068;100;7;100;
12;4;1;12;4;2068;100;4;100;
12;4;1;12;1;5;100;8;13;
12;4;1;12;2;48;100;2;100;
12;4;1;12;2;48;100;11;54;
12;4;1;12;3;329;100;10;100;
12;4;1;12;2;48;100;8;87;
12;4;1;12;5;11889;100;9;100;
12;4;1;12;1;5;100;3;55;
12;4;1;12;5;11889;100;1;100;
12;4;1;12;5;11889;100;5;100;
12;4;1;12;2;48;100;6;98;
12;4;1;12;2;48;100;0;100;
12;4;1;12;2;48;100;4;100;
12;4;1;12;1;5;100;6;25;
12;4;1;12;3;329;100;4;100;
12;4;1;12;1;5;100;1;80;
12;4;1;12;4;2068;100;8;100;
12;4;1;12;5;11889;100;8;100;
12;4;1;12;3;329;100;9;100;
12;4;1;12;5;11889;100;4;100;
12;4;1;12;3;329;100;2;100;
12;4;1;12;4;2068;100;9;100;
12;4;1;12;5;11889;100;6;100;
12;4;1;12;1;5;100;7;27;
12;4;1;12;2;48;100;9;77;
12;4;1;12;4;2068;100;5;100;
12;4;1;12;1;5;100;4;45;
12;4;1;12;4;2068;100;0;100;
12;4;1;12;3;329;100;11;100;
12;4;1;12;5;11889;100;10;100;
12;4;1;12;3;329;100;0;100;
12;4;1;12;1;5;100;10;13;
12;4;1;12;4;2068;100;10;100;
12;4;1;12;3;329;100;3;100;
12;4;1;12;2;48;100;5;100;
12;4;1;12;3;329;100;5;100;
12;4;1;12;5;11889;100;11;100;
12;4;1;12;5;11889;100;0;100;
12;4;1;12;2;48;100;7;91;
12;4;1;12;1;5;100;9;8;
